Date,Home,Away,Score_Home,Score_Away,xG_Home,xG_Away,Elo_ranking_home,Elo_rating_home,avg_rank_home,avg_rating_home,Elo_ranking_away,Elo_rating_away,avg_rank_away,avg_rating_away,goal_dif,xG_dif,Elo_ranking_dif,Elo_rating_dif,avg_rank_dif,avg_rating_dif
2021,Poland,Slovakia,1,2,1.4,0.4,30,1770,29,1711,47,1667,39,1683,-1,0.9999999999999999,-17,103,-10,28
2021,Spain,Sweden,0,0,2.3,1.2,5,2037,7,1940,24,1821,16,1797,0,1.0999999999999999,-19,216,-9,143
2021,Hungary,Portugal,0,3,0.2,2.5,40,1726,20,1837,8,1973,19,1787,-3,-2.3,32,-247,1,50
2021,France,Germany,1,0,0.3,0.9,2,2115,17,1782,9,1963,8,1909,1,-0.6000000000000001,-7,152,9,-127
2021,Finland,Russia,0,1,0.8,1.0,41,1722,62,1495,32,1761,23,1741,-1,-0.19999999999999996,9,-39,39,-246
2021,Turkey,Wales,0,2,1.2,3.5,39,1727,42,1609,20,1836,22,1666,-2,-2.3,19,-109,20,-57
2021,Italy,Switzerland,3,0,2.7,0.2,7,2031,8,1914,11,1934,27,1682,3,2.5,-4,97,-19,232
2021,Ukraine,North Macedonia,2,1,3.4,1.3,25,1817,34,1731,54,1630,76,1526,1,2.0999999999999996,-29,187,-42,205
2021,Denmark,Belgium,1,2,1.7,0.9,10,1937,20,1796,4,2075,24,1748,-1,0.7999999999999999,6,-138,-4,48
2021,Netherlands,Austria,2,0,3.1,0.7,12,1929,15,1843,37,1729,14,1880,2,2.4000000000000004,-25,200,1,-37
2021,Sweden,Slovakia,1,0,1.7,0.5,24,1821,16,1797,47,1667,39,1683,1,1.2,-23,154,-23,114
2021,Croatia,Czech Republic,1,1,0.9,1.6,15,1858,13,1876,23,1834,13,1858,0,-0.7000000000000001,-8,24,0,18
2021,England,Scotland,0,0,1.4,0.6,6,2032,4,1979,36,1731,20,1810,0,0.7999999999999999,-30,301,-16,169
2021,Hungary,France,1,1,0.4,2.0,40,1726,20,1837,2,2115,17,1782,0,-1.6,38,-389,3,55
2021,Portugal,Germany,2,4,2.0,2.6,8,1973,19,1787,9,1963,8,1909,-2,-0.6000000000000001,-1,10,11,-122
2021,Spain,Poland,1,1,2.9,1.3,5,2037,7,1940,30,1770,29,1711,0,1.5999999999999999,-25,267,-22,229
2021,Italy,Wales,1,0,2.0,0.4,7,2031,8,1914,20,1836,22,1666,1,1.6,-13,195,-14,248
2021,Switzerland,Turkey,3,1,2.1,1.2,11,1934,27,1682,39,1727,42,1609,2,0.9000000000000001,-28,207,-15,73
2021,North Macedonia,Netherlands,0,3,1.1,3.1,54,1630,76,1526,12,1929,15,1843,-3,-2.0,42,-299,61,-317
2021,Ukraine,Austria,0,1,0.3,1.6,25,1817,34,1731,37,1729,14,1880,-1,-1.3,-12,88,20,-149
2021,Russia,Denmark,1,4,1.1,2.1,32,1761,23,1741,10,1937,20,1796,-3,-1.0,22,-176,3,-55
2021,Finland,Belgium,0,2,0.4,1.6,41,1722,62,1495,4,2075,24,1748,-2,-1.2000000000000002,37,-353,38,-253
2021,Croatia,Scotland,3,1,1.0,1.4,15,1858,13,1876,36,1731,20,1810,2,-0.3999999999999999,-21,127,-7,66
2021,Czech Republic,England,0,1,0.3,1.5,23,1834,13,1858,6,2032,4,1979,-1,-1.2,17,-198,9,-121
2021,Sweden,Poland,3,2,1.1,1.9,24,1821,16,1797,30,1770,29,1711,1,-0.7999999999999998,-6,51,-13,86
2021,Slovakia,Spain,0,5,0.1,3.4,47,1667,39,1683,5,2037,7,1940,-5,-3.3,42,-370,32,-257
2021,Germany,Hungary,2,2,2.2,0.8,9,1963,8,1909,40,1726,20,1837,0,1.4000000000000001,-31,237,-12,72
2021,Portugal,France,2,2,1.9,1.9,8,1973,19,1787,2,2115,17,1782,0,0.0,6,-142,2,5
2021,Wales,Denmark,0,4,0.6,2.7,20,1836,22,1666,10,1937,20,1796,-4,-2.1,10,-101,2,-130
2021,Italy,Austria,2,1,1.9,0.8,7,2031,8,1914,37,1729,14,1880,1,1.0999999999999999,-30,302,-6,34
2021,Netherlands,Czech Republic,0,2,0.9,1.6,12,1929,15,1843,23,1834,13,1858,-2,-0.7000000000000001,-11,95,2,-15
2021,Belgium,Portugal,1,0,0.2,1.4,4,2075,24,1748,8,1973,19,1787,1,-1.2,-4,102,5,-39
2021,Croatia,Spain,3,5,3.2,3.6,15,1858,13,1876,5,2037,7,1940,-2,-0.3999999999999999,10,-179,6,-64
